,word,upvotes,num_comments,frequency,avg_upvotes,avg_num_comments
2,sea,17374,1755,21,827.3333333333334,83.57142857142857
8,kansas,46609,5540,17,2741.705882352941,325.88235294117646
9,state,1061358,54062,121,8771.553719008265,446.79338842975204
13,made,115878,9709,28,4138.5,346.75
19,us,3350168,299375,537,6238.674115456239,557.4953445065177
23,black,1017509,69372,135,7537.103703703704,513.8666666666667
32,general,216122,16935,36,6003.388888888889,470.4166666666667
33,china,204167,18405,114,1790.938596491228,161.44736842105263
37,louisiana,105787,6782,17,6222.764705882353,398.94117647058823
38,hospit,149784,8090,19,7883.368421052632,425.7894736842105
40,may,113383,9448,58,1954.8793103448277,162.89655172413794
44,staff,161693,9356,30,5389.766666666666,311.8666666666667
48,fight,80449,7824,27,2979.5925925925926,289.77777777777777
49,board,168214,9366,26,6469.7692307692305,360.2307692307692
51,ship,55900,4599,20,2795.0,229.95
52,dozens,65551,4874,16,4096.9375,304.625
54,first,670168,31886,101,6635.3267326732675,315.7029702970297
60,hong,88510,4890,38,2329.2105263157896,128.68421052631578
61,kong,37252,2649,35,1064.3428571428572,75.68571428571428
62,protest,1426185,85601,159,8969.716981132075,538.37106918239
63,one,371308,21750,50,7426.16,435.0
64,million,629587,40098,109,5776.027522935779,367.8715596330275
65,people,540778,38221,86,6288.116279069767,444.43023255813955
68,shut,55547,5945,21,2645.095238095238,283.0952380952381
70,alleged,244347,13496,46,5311.891304347826,293.39130434782606
71,sex,296595,15967,36,8238.75,443.52777777777777
73,video,952699,68477,114,8357.008771929824,600.6754385964912
77,thousands,196883,17493,41,4802.024390243902,426.6585365853659
79,george,991240,59305,67,14794.626865671642,885.1492537313433
80,floyd,897677,52104,61,14716.016393442624,854.1639344262295
85,latest,44804,2997,18,2489.1111111111113,166.5
86,victim,28522,3389,21,1358.1904761904761,161.38095238095238
91,racist,237688,13020,51,4660.549019607844,255.2941176470588
94,man,2271241,153522,394,5764.571065989848,389.6497461928934
95,dies,463570,41587,103,4500.679611650486,403.75728155339806
98,florida,650806,49522,99,6573.79797979798,500.22222222222223
106,season,46309,3431,20,2315.45,171.55
109,charged,1504183,98132,154,9767.422077922078,637.2207792207793
110,child,411623,26397,58,7096.948275862069,455.12068965517244
111,rape,201849,13131,28,7208.892857142857,468.9642857142857
117,loses,261788,15074,22,11899.454545454546,685.1818181818181
